,address,baths,beds,id,lat,lng,photoUrl,photoUrlForHdDpiDisplay,price,satellitePhotoUrl,shortPrice,sqft,streetViewPhotoUrl,url
11,171 E 84th St #15GE,3ba,3bd,5047424497,40.777874,-73.95523,/pictures/thumbs_3/zillowstatic/IS6y59n8m66if61000000000.jpg,/pictures/thumbs_4/zillowstatic/IS6y59n8m66if61000000000.jpg,"$3,550,000",,$3.55m,"2,200 sqft",,/p/ny/new-york/171-e-84th-st-15ge-new-york-ny-10028--2327716880
12,1067 5th Ave #2,4ba,4bd,5047436149,40.782444,-73.95932,/pictures/thumbs_3/zillowstatic/ISesq7urlospxn1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISesq7urlospxn1000000000.jpg,"$8,750,000",,$8.75m,,,/p/ny/new-york/1067-5th-ave-2-new-york-ny-10128--2177389730
13,21 E 66th St #2EW,6ba,4bd,5047435107,40.768215,-73.96837,/pictures/thumbs_3/zillowstatic/ISuw03q74r8v6d0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISuw03q74r8v6d0000000000.jpg,"$8,490,000",,$8.49m,"3,602 sqft",,/p/ny/new-york/21-e-66th-st-2ew-new-york-ny-10065--2360404848
14,599 W End Ave #7BC,2ba,3bd,3169954479,40.79083,-73.97678,/pictures/thumbs_3/zillowstatic/ISegt59s4w3jse0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISegt59s4w3jse0000000000.jpg,"$949,000",,$949k,,,/p/ny/new-york/599-w-end-ave-7bc-new-york-ny-10024--2325130724
15,182 W 82nd St #2N,4ba,3bd,3134183474,40.78476,-73.976685,/pictures/thumbs_3/zillowstatic/ISib0no9c8u3z51000000000.jpg,/pictures/thumbs_4/zillowstatic/ISib0no9c8u3z51000000000.jpg,"$5,675,000",,$5.68m,"2,280 sqft",,/p/ny/new-york/182-w-82nd-st-2n-new-york-ny-10024--2178653207
16,135 W 17th St #2B,2ba,3bd,5047415250,40.74011,-73.99688,/pictures/thumbs_3/zillowstatic/ISqxqwly3o1if30000000000.jpg,/pictures/thumbs_4/zillowstatic/ISqxqwly3o1if30000000000.jpg,"$2,750,000",,$2.75m,"2,500 sqft",,/p/ny/new-york/135-w-17th-st-2b-new-york-ny-10011--2209191727
17,190 Riverside Dr #10CD,5ba,5bd,5047436208,40.792755,-73.97665,/pictures/thumbs_3/zillowstatic/ISa9thjzvgh60o1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISa9thjzvgh60o1000000000.jpg,"$6,700,000",,$6.7m,"3,760 sqft",,/p/ny/new-york/190-riverside-dr-10cd-new-york-ny-10024--2360405069
18,1067 5th Ave #2,4ba,4bd,5047443092,40.782444,-73.95932,/pictures/thumbs_3/zillowstatic/IS2fc6p8eh0yni1000000000.jpg,/pictures/thumbs_4/zillowstatic/IS2fc6p8eh0yni1000000000.jpg,"$8,750,000",,$8.75m,,,/p/ny/new-york/1067-5th-ave-2-new-york-ny-10128--2177389730
19,455 Central Park W #22A,3ba,3bd,3219168465,40.797882,-73.96077,/pictures/thumbs_3/zillowstatic/IS2337ykkmwwqe0000000000.jpg,/pictures/thumbs_4/zillowstatic/IS2337ykkmwwqe0000000000.jpg,"$3,495,000",,$3.5m,"2,083 sqft",,/p/ny/new-york/455-central-park-w-22a-new-york-ny-10025--2088879857
20,161 E 90th St #1C,2ba,3bd,5047435215,40.78198,-73.952965,/pictures/thumbs_3/zillowstatic/ISuw0vfegeozqe0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISuw0vfegeozqe0000000000.jpg,"$1,995,000",,$2m,"1,500 sqft",,/p/ny/new-york/161-e-90th-st-1c-new-york-ny-10128--2191408091
